time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002515,-0.2257,-0.0311,-0.2635,0.348
0.008574,-0.1214,0.0458,0.1401,0.191
0.011464,-0.0841,0.1177,0.1497,0.208
0.021984,-0.0749,0.0529,0.1085,0.142
0.028529,-0.0554,0.0356,0.2011,0.212
0.037894,-0.0906,0.0373,0.1838,0.208
0.043891,-0.1184,-0.0018,0.0011,0.118
0.051327,-0.0765,-0.0552,-0.0220,0.097
0.059284,-0.0418,-0.0488,-0.0186,0.067
0.067639,-0.0479,-0.0472,0.0404,0.078
0.075133,0.0181,-0.0220,0.0307,0.042
0.083926,-0.0064,-0.0616,-0.0678,0.092
0.096120,0.1059,-0.0702,-0.0064,0.127
0.100057,0.0654,-0.0264,0.0336,0.078
0.107558,-0.0085,-0.0137,0.0424,0.045
0.115996,-0.0350,-0.0270,0.0125,0.046
0.126653,-0.0594,0.0078,0.0161,0.062
0.131115,-0.0937,0.0115,0.0364,0.101
0.139734,-0.0705,-0.0159,-0.0268,0.077
0.148184,-0.0476,-0.0672,-0.1403,0.163
0.155677,-0.0245,-0.0513,-0.1370,0.148
0.163742,-0.0494,-0.0498,-0.0429,0.082
0.171237,-0.0292,-0.0624,-0.0397,0.080
0.180034,-0.0306,-0.0894,-0.0174,0.096
0.198447,-0.0632,-0.1068,-0.0120,0.125
0.199431,-0.1199,-0.1072,0.0244,0.163
0.203122,-0.1292,-0.1146,0.0440,0.178
0.211233,-0.1003,-0.1650,0.0273,0.195
0.222337,-0.1023,-0.2035,0.0131,0.228
0.227221,-0.1233,-0.2446,0.0327,0.276
0.234937,-0.1103,-0.2309,0.1172,0.281
0.243281,-0.1016,-0.1647,0.1920,0.273
0.251416,-0.1089,-0.1134,0.1644,0.227
0.259001,-0.0678,-0.0743,0.0749,0.125
0.267658,-0.1123,0.0242,0.0431,0.123
0.280955,-0.0750,0.0698,0.1268,0.163
0.283626,0.0083,0.0024,0.1634,0.164
0.291563,0.0512,-0.1443,0.1363,0.205
0.298963,-0.0303,-0.2288,-0.0173,0.231
0.307292,-0.0572,-0.3011,-0.0874,0.319
0.315318,-0.1759,-0.3561,-0.1269,0.417
0.323230,-0.2738,-0.3963,-0.1716,0.511
0.330958,-0.2864,-0.4049,-0.2381,0.550
0.338772,-0.2828,-0.2767,-0.1776,0.434
0.347040,-0.3708,-0.1197,-0.0372,0.391
0.354928,-0.2414,-0.0441,0.0044,0.245
0.363125,-0.1569,-0.1343,-0.0367,0.210
0.370790,-0.1291,-0.2105,-0.0869,0.262
0.378933,-0.0196,-0.1792,-0.1107,0.211
0.391728,-0.0246,-0.1743,-0.1681,0.243
0.395330,0.0232,-0.2412,-0.1734,0.298
0.407533,-0.0530,-0.2604,-0.2535,0.367
0.410737,-0.1348,-0.2024,-0.2411,0.342
0.420474,-0.0240,-0.1964,-0.1309,0.237
0.426922,0.0427,-0.2043,-0.1451,0.254
0.434475,-0.0259,-0.1875,-0.2148,0.286
0.442692,-0.0122,-0.3398,-0.1084,0.357
0.450524,0.0023,-0.6014,0.0023,0.601
0.459212,-0.0836,-0.7708,0.0433,0.777
0.467405,-0.1989,-0.8142,0.0220,0.838
0.475218,-0.2511,-0.7191,-0.0663,0.765
0.483618,-0.1945,-0.6174,-0.0924,0.654
0.491026,-0.1766,-0.4999,-0.1034,0.540
0.500121,-0.2236,-0.4673,-0.1134,0.530
0.506942,-0.0737,-0.6138,-0.0495,0.620
0.514783,-0.0269,-0.9306,0.1213,0.939
0.522840,0.4153,-1.6701,0.6944,1.856
0.530927,0.4656,-2.0486,0.1791,2.108
0.538569,0.9573,-2.8664,0.0252,3.022
0.547131,0.5158,-2.9943,-0.3594,3.060
0.554501,0.4446,-2.9270,-0.7044,3.043
0.562684,0.6994,-2.8183,-0.7433,2.997
0.570682,0.7459,-2.5352,-0.6906,2.731
0.578373,0.8153,-2.0686,-0.3634,2.253
0.589044,0.8747,-1.3767,-0.0043,1.631
0.594528,0.7238,-0.6652,0.3153,1.032
0.607497,0.3938,0.1621,0.4709,0.635
0.610481,0.3332,0.1899,0.6236,0.732
0.621202,-0.0611,0.2698,0.4348,0.515
0.627842,-0.9699,0.5067,0.2575,1.124
0.635144,-2.8478,0.8361,0.7397,3.059
0.642438,-3.6932,1.3018,0.9522,4.030
0.651067,-3.6460,1.5174,0.8884,4.048
0.658685,-2.7300,1.4384,0.5121,3.128
0.666519,-1.5824,1.1240,0.0366,1.941
0.675446,-0.7490,0.7174,-0.2813,1.075
0.683131,-0.2488,0.5325,-0.5892,0.832
0.690784,0.1033,0.6061,-0.6019,0.860
0.698917,0.3978,0.8995,-0.4632,1.087
0.706530,-0.0789,0.7465,-0.4062,0.854
0.714510,-0.4418,0.4679,0.0646,0.647
0.723046,-0.1496,0.3437,0.1823,0.417
0.730468,0.0747,0.2701,0.1230,0.306
0.738263,0.0912,0.2132,0.1130,0.258
0.747183,0.0465,0.1609,0.1108,0.201
0.754384,0.1086,0.1968,0.1766,0.286
0.763103,0.0679,0.3131,0.2558,0.410
0.770957,-0.2047,0.3974,0.2575,0.516
0.778274,-0.5866,0.3784,0.1995,0.726
0.786910,-0.8449,0.2784,0.1793,0.907
0.794769,-1.0072,0.1793,0.1422,1.033
0.802204,-1.1009,0.0313,0.0135,1.101
0.810708,-0.9966,-0.0507,0.1253,1.006
0.826518,-0.8198,-0.0744,0.2665,0.865
0.828208,-0.7822,-0.0523,0.3079,0.842
0.834571,-0.7224,-0.0349,0.2916,0.780
0.842408,-0.5217,-0.1089,0.0847,0.540
0.850147,0.0113,-0.2891,-0.1796,0.341
0.859312,1.1942,-0.5408,-0.2110,1.328
0.866269,2.5702,-0.6794,-0.0286,2.659
0.875270,3.8544,-0.5190,0.3874,3.908
0.882970,3.6348,0.3437,1.2823,3.870
0.891340,2.2288,1.0413,2.2776,3.353
0.898314,1.4051,1.7483,3.2157,3.921
0.911663,0.5495,2.7120,3.5950,4.537
0.914140,-0.0850,3.6509,3.4876,5.050
0.922482,-0.5104,4.2151,3.2027,5.318
0.930264,-0.9626,4.4108,2.7081,5.265
0.938311,-1.2821,3.9585,1.9719,4.605
0.946764,-1.5946,3.1672,1.3251,3.785
0.954224,-1.7254,2.0341,0.7128,2.761
0.962800,-1.4800,0.6659,0.0902,1.625
0.970204,-0.7352,-0.4340,-0.5660,1.024
