time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003237,0.3964,-0.5072,-0.5673,0.858
0.003895,0.3980,-0.5847,-0.7599,1.038
0.012417,0.4613,-0.7384,-0.8088,1.188
0.016200,0.4550,-0.7269,-0.6060,1.050
0.032115,0.2238,-0.6368,-0.4388,0.805
0.033340,0.0810,-0.6505,-0.3750,0.755
0.040282,-0.0721,-0.5334,-0.5976,0.804
0.048278,-0.2047,-0.4529,-0.8873,1.017
0.064065,-0.3574,-0.5811,-1.1285,1.319
0.065352,-0.4728,-0.7810,-1.1079,1.436
0.073051,-0.7039,-0.8515,-0.8185,1.375
0.080391,-0.8691,-0.9223,-0.4165,1.334
0.088933,-0.9082,-1.0443,-0.2248,1.402
0.095867,-1.0111,-1.0482,-0.4554,1.526
0.103893,-0.9503,-0.9504,-0.7841,1.556
0.111758,-0.8500,-0.9589,-1.0312,1.645
0.119758,-0.7864,-1.0230,-1.1339,1.718
0.131405,-0.7831,-0.9488,-1.0527,1.619
0.135452,-0.7345,-0.8198,-0.7207,1.316
0.144668,-0.6479,-0.7372,-0.4475,1.079
0.152345,-0.6073,-0.7059,-0.4515,1.035
0.159475,-0.5996,-0.7497,-0.5788,1.121
0.167601,-0.6454,-0.7149,-0.5479,1.108
0.175695,-0.8381,-0.7705,-0.2635,1.169
0.183557,-0.8692,-0.7583,-0.0475,1.154
0.191633,-0.7567,-0.5410,-0.0657,0.933
0.199596,-0.8015,-0.4202,-0.1934,0.925
0.208573,-0.7745,-0.3905,-0.2653,0.907
0.215623,-0.6241,-0.4082,-0.2749,0.795
0.232761,-0.7197,-0.4402,-0.3119,0.899
0.234363,-0.6854,-0.4630,-0.5487,0.993
0.240031,-0.5878,-0.4471,-0.8749,1.145
0.247947,-0.5167,-0.4708,-0.8002,1.062
0.255992,-0.6495,-0.5121,-0.3421,0.895
0.263730,-0.8546,-0.5024,0.1315,1.000
0.272298,-0.8541,-0.4680,0.2528,1.006
0.280529,-0.8681,-0.5599,0.3123,1.079
0.288798,-0.8306,-0.5481,0.1504,1.006
0.295831,-0.7729,-0.5113,-0.1279,0.936
0.303374,-0.6903,-0.6338,0.0981,0.942
0.311746,-0.7212,-0.6619,0.2814,1.019
0.320149,-1.0761,-0.5407,0.3222,1.247
0.333516,-1.2176,-0.5573,0.5261,1.439
0.336669,-1.5397,-0.5636,0.7584,1.807
0.344177,-1.8281,-0.6848,0.8555,2.131
0.351393,-1.5504,-0.6537,0.7079,1.825
0.359520,-1.0162,-0.8162,0.7562,1.507
0.367353,-0.3263,-0.6915,0.3336,0.834
0.375390,1.4250,-0.4287,0.1317,1.494
0.383259,1.5820,-0.2229,0.0380,1.598
0.392051,1.3925,-0.0439,-0.4812,1.474
0.399632,1.9323,0.1222,-0.5770,2.020
0.407970,1.8196,0.4154,-0.0963,1.869
0.415533,1.4443,1.0401,0.9141,2.001
0.426612,1.0784,1.6466,1.6940,2.597
0.431787,0.5137,1.8477,1.7632,2.605
0.440234,0.4247,1.8722,1.3048,2.321
0.447185,0.4176,1.8916,0.7891,2.092
0.455966,0.6059,1.6017,0.3100,1.740
0.463060,1.0737,1.1899,-0.0148,1.603
0.472368,1.7509,0.9653,-0.0327,2.000
0.479684,2.1151,0.9683,-0.3808,2.357
0.488277,1.8460,1.1562,-0.7329,2.298
0.495172,1.8070,1.2752,-0.9991,2.427
0.503612,1.9087,1.2357,-1.0451,2.502
0.511318,1.6449,1.1308,-0.8130,2.155
0.518956,1.4486,0.7402,-0.5730,1.725
0.527703,0.9459,0.6968,-0.6462,1.341
0.535833,0.6397,0.7340,-1.2979,1.622
0.543007,0.3650,0.6228,-1.7599,1.902
0.550977,0.8634,0.5625,-1.5432,1.856
0.558864,1.5498,0.2479,-0.6329,1.692
0.566954,1.5178,0.2223,0.2001,1.547
0.575201,1.7536,0.2589,0.2623,1.792
0.582900,1.9512,0.2689,0.0317,1.970
0.591465,2.0470,0.4930,0.0795,2.107
0.598885,2.1498,0.6954,0.2403,2.272
0.608229,2.2344,0.5050,0.5270,2.351
0.615057,2.0835,0.7762,0.4070,2.260
0.624251,1.6125,1.2911,-0.1564,2.072
0.631115,1.1667,1.6054,-0.5102,2.049
0.639342,0.9089,1.4560,-0.5711,1.809
0.647766,0.6192,1.7065,-0.0424,1.816
0.655151,1.1397,1.7604,0.4831,2.152
0.662883,0.6992,2.2323,0.3553,2.366
0.672180,0.9024,2.0279,-0.3435,2.246
0.679724,0.4791,1.9483,-0.8697,2.187
0.687106,0.1760,1.2585,-0.7790,1.491
0.695136,-0.2735,-0.0702,-0.0365,0.285
0.703536,-0.8155,-1.3789,0.9211,1.848
0.711881,-0.9550,-2.3426,0.9646,2.707
0.719565,-0.9586,-2.9024,-0.2587,3.068
0.727863,-0.9905,-2.9269,-1.5480,3.456
0.735505,-1.1117,-3.6599,-2.2537,4.440
0.743121,-0.9406,-4.0807,-2.5151,4.885
0.751381,-0.6264,-3.9872,-2.4893,4.742
0.759437,-0.0233,-3.7879,-2.4936,4.535
0.766714,0.9351,-3.9393,-2.3590,4.686
0.775510,1.7632,-4.0991,-1.2856,4.644
0.783387,2.3036,-3.9198,-0.3097,4.557
0.791081,2.4173,-3.6041,-0.0580,4.340
0.798923,3.0297,-3.4789,-0.0801,4.614
0.806666,3.0230,-3.0297,0.3188,4.292
0.815324,2.5542,-2.4106,0.6289,3.568
0.824818,2.5682,-2.0530,1.2115,3.504
0.831060,2.4976,-2.1485,1.5188,3.628
0.842038,1.5252,-2.2763,1.2730,3.021
0.846704,0.5042,-2.0516,0.5842,2.192
0.854682,-0.3282,-1.4755,-0.3481,1.551
0.862648,-1.0166,-0.7329,-1.3050,1.809
0.872457,-0.8911,-0.0313,-1.7259,1.943
0.878850,-1.0893,0.4951,-1.7259,2.100
0.888028,-1.0018,0.6892,-0.9655,1.553
0.895254,-1.3399,0.6396,-0.0045,1.485
0.902564,-1.3880,0.6311,0.1458,1.532
0.911470,-1.4660,0.5816,0.0924,1.580
0.919707,-0.6539,0.4929,0.3234,0.880
0.927056,0.4652,0.2319,0.0498,0.522
0.934784,1.2061,-0.3322,0.1428,1.259
0.946551,1.6633,-0.7779,0.5175,1.908
0.950599,2.0248,-0.8648,0.8596,2.364
0.958672,1.7521,-1.1366,0.5923,2.171
0.966976,1.0697,-1.3486,0.4394,1.777
0.974929,0.5036,-1.3101,0.8521,1.642
0.982513,0.3943,-1.3113,-0.0455,1.370
0.990406,-0.8344,-0.4778,0.0968,0.966
0.998601,-1.1378,0.1456,-0.3736,1.206
1.006953,-1.1994,0.3576,-1.0712,1.647
1.014612,-1.6567,0.9951,-1.6137,2.518
1.025952,-1.7528,0.9372,-2.4887,3.185
1.030526,-0.7489,0.9290,-1.8373,2.191
1.039003,0.3792,1.0578,-1.9872,2.283
1.046917,-0.9924,0.8061,-2.0949,2.454
1.055687,-1.0713,0.2230,-1.7031,2.024
1.063087,-0.0623,-0.3549,-1.2650,1.315
1.071163,-0.4163,-0.6812,-1.0824,1.345
1.078995,-0.1438,-0.9214,-0.9866,1.358
1.086335,0.0863,-0.3220,-1.3471,1.388
1.094377,-0.6181,0.6504,-1.9111,2.111
1.102425,-1.6580,2.1993,-2.1153,3.473
1.110263,-1.1482,3.1028,-1.6324,3.689
1.119012,0.0696,4.2098,-0.7885,4.284
1.126417,2.1400,3.8635,1.0086,4.530
1.134328,3.4102,3.1789,3.2643,5.691
1.142999,4.0618,2.5193,3.8671,6.148
1.150291,3.7760,3.0618,3.5420,6.015
1.158230,3.1439,3.2826,2.6434,5.258
1.166836,1.9721,4.1196,1.2684,4.740
1.174258,2.4423,4.5082,-0.3268,5.138
1.182751,1.8466,3.9950,-0.6268,4.446
1.190930,2.1900,3.7640,0.1682,4.358
1.198666,2.9601,2.9612,0.3665,4.203
1.206569,3.3181,2.0190,0.2976,3.895
1.214250,3.6792,0.8710,-0.2944,3.792
1.224211,2.8433,0.3978,-0.4570,2.907
1.230737,1.9997,0.2101,-0.0944,2.013
1.238065,1.6546,-0.1899,0.1834,1.676
1.246140,0.9543,-0.5882,0.2698,1.153
1.254306,0.4269,-1.6169,0.6363,1.789
1.263474,0.1658,-2.2605,0.7568,2.390
1.271474,-0.7183,-2.0423,0.0928,2.167
1.278081,-1.0430,-1.6538,-0.5112,2.021
1.288686,-0.6090,-1.6855,-0.4865,1.857
1.294738,-0.6512,-2.1430,-0.0723,2.241
1.302471,-1.0869,-2.0202,0.4790,2.344
1.310715,-1.4170,-1.5827,1.1402,2.411
1.318070,-0.1686,-2.3236,0.5678,2.398
1.326971,-0.1789,-2.9012,-0.0073,2.907
1.334020,0.4250,-2.7871,0.6244,2.888
1.346533,1.2387,-3.2473,1.1282,3.654
1.349977,0.3830,-3.2691,0.9898,3.437
1.358196,-1.5532,-2.3130,0.8245,2.906
1.366016,-4.7925,-2.4577,-0.1077,5.387
1.374285,-8.5229,-3.5694,-0.6018,9.260
1.382001,-11.0013,-2.1472,-1.7522,11.345
1.390667,-11.5781,-0.5189,-3.5486,12.121
1.398502,-9.4027,-1.2469,-4.3760,10.446
1.406717,-5.0906,-4.4855,-2.5295,7.241
1.414584,-4.3540,-3.8036,-0.5501,5.808
1.424978,-3.4196,-2.1398,-1.4677,4.293
1.430652,-2.2320,-2.9237,-2.9981,4.745
1.440784,-1.5160,-3.4834,-2.2767,4.429
1.445977,-0.2536,-3.3862,-0.8287,3.495
1.454515,0.5898,-3.7726,0.2327,3.826
1.462140,1.1023,-4.0102,0.9328,4.262
1.470418,1.7029,-4.5576,1.0703,4.982
1.477956,1.2320,-4.7344,1.7941,5.211
1.487164,-3.6261,-0.0417,2.9432,4.670
1.493980,-2.1218,0.6332,-0.0622,2.215
1.501772,-0.5171,-1.8036,-1.5068,2.406
1.509397,-0.5769,-2.1933,-0.5965,2.345
1.517566,-0.3965,-1.9685,0.4480,2.057
1.525850,0.0096,-2.4385,0.4341,2.477
1.534712,0.5060,-2.8070,0.5938,2.913
1.543004,0.7358,-2.9347,1.0891,3.216
1.549938,0.7448,-2.3451,2.2615,3.342
1.558009,-0.3145,-0.6499,3.2164,3.296
1.566392,-0.6804,0.3684,2.9523,3.052
1.573567,-1.1037,0.9890,3.1662,3.496
1.581791,0.6973,0.4312,2.7669,2.886
1.590085,0.9021,0.9119,3.2127,3.459
1.598131,0.7064,1.3587,2.8288,3.217
1.605868,1.7613,0.7211,2.0791,2.819
1.614013,2.2324,0.3315,2.6529,3.483
1.623968,1.6816,0.2222,1.7136,2.411
1.629503,0.6722,0.4219,1.6976,1.874
1.638078,0.9540,0.4903,1.4438,1.799
1.645898,1.3596,0.7015,2.3188,2.778
1.653416,2.4102,0.4851,3.3531,4.158
1.661439,3.0584,0.8092,3.8776,5.004
1.670545,2.4471,2.0248,3.5866,4.791
1.677985,1.9915,3.4820,3.1647,5.109
1.686042,1.2630,4.9731,1.7235,5.413
1.693851,2.6642,4.8614,-0.6121,5.577
1.702054,10.4556,-0.4697,-3.7530,11.119
1.709790,7.5273,0.0394,-1.3591,7.649
1.718016,2.3050,1.3822,0.3510,2.711
1.725989,-2.5161,2.9112,2.1086,4.388
1.733662,-6.6502,3.2516,4.3842,8.603
1.743885,-9.9782,1.7503,4.2082,10.970
1.749566,-7.2718,2.8459,2.3457,8.154
1.757831,-3.3899,4.0280,1.3694,5.440
1.765712,-2.3031,3.8225,0.9121,4.555
