time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003865,0.1035,0.2184,-1.2127,1.237
0.004286,-0.1363,0.3851,-0.7376,0.843
0.013196,-0.1002,0.4625,-0.0226,0.474
0.032826,0.1716,0.5037,0.7168,0.893
0.033527,0.5890,0.5370,1.2449,1.478
0.034596,0.9159,0.6134,1.5068,1.867
0.048437,1.1023,0.5562,1.4287,1.888
0.051287,1.3565,0.2506,1.0500,1.734
0.063362,1.5254,-0.2319,0.4882,1.618
0.066446,1.1147,-0.6755,0.1665,1.314
0.090635,0.3047,-1.0063,-0.0525,1.053
0.091483,-0.4959,-0.9763,0.3118,1.139
0.091920,-1.1804,-1.0412,1.0428,1.888
0.099200,-1.3660,-1.0286,1.5694,2.321
0.111368,-0.8970,-1.2910,1.9690,2.520
0.114232,-0.5171,-1.0707,1.8269,2.180
0.133127,-0.2323,-0.7610,1.4391,1.644
0.133812,0.1362,-0.4934,1.0600,1.177
0.161563,0.4487,-0.3126,0.6252,0.831
0.162628,0.7688,-0.1394,0.2155,0.811
0.163242,0.9483,-0.1023,-0.1316,0.963
0.163805,0.9542,-0.1772,-0.2567,1.004
0.182231,1.0121,-0.2378,-0.1694,1.053
0.182976,1.0898,-0.2707,-0.0546,1.124
0.186343,0.9966,-0.3196,0.0181,1.047
0.194159,0.8835,-0.3635,0.0544,0.957
0.202908,0.8747,-0.3437,0.1611,0.954
0.210259,0.9092,-0.3872,0.5087,1.111
0.220311,1.0347,-0.4878,0.8773,1.442
0.226217,1.1651,-0.5511,0.9994,1.631
0.234892,1.2897,-0.5707,1.0276,1.745
0.246836,1.3271,-0.6234,0.9136,1.728
0.250096,1.3303,-0.6557,0.8026,1.686
0.258357,1.3546,-0.7614,0.6493,1.684
0.266228,1.3227,-0.8807,0.2711,1.612
0.278889,1.1967,-0.7683,-0.0616,1.423
0.282154,0.9309,-0.4279,-0.5315,1.154
0.290138,0.4489,-0.0250,-1.2067,1.288
0.298214,0.0702,0.0191,-1.7950,1.797
0.306342,0.0148,0.0474,-2.1312,2.132
0.314138,0.1637,0.1100,-2.2477,2.256
0.329966,0.5785,0.0852,-2.2094,2.285
0.330869,1.3353,-0.1980,-1.9287,2.354
0.338755,1.3484,-0.5086,-1.4334,2.033
0.346362,0.8782,-0.2482,-0.9944,1.350
0.359995,0.7983,0.2546,-0.4595,0.956
0.362011,0.5839,0.5634,-0.0062,0.811
0.370162,0.2377,0.4798,0.2451,0.589
0.378121,-0.0572,0.1823,0.5328,0.566
0.385976,-0.2244,-0.2316,0.7387,0.806
0.393933,-0.2799,-0.6570,0.7208,1.015
0.402397,-0.3679,-1.0209,0.4718,1.183
0.411387,-0.4061,-1.2884,0.1268,1.357
0.418835,-0.3223,-1.4937,-0.2315,1.546
0.426474,-0.0487,-1.5757,-0.4325,1.635
0.434579,0.2021,-1.5387,-0.4054,1.604
0.442385,0.3546,-1.3089,-0.2204,1.374
