time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004804,0.4242,0.3316,-2.2691,2.332
0.008432,0.3726,0.5011,-2.0796,2.171
0.014593,0.2629,0.6061,-1.6011,1.732
0.022889,0.1834,0.5936,-1.1117,1.274
0.035771,0.2421,0.4900,-0.7412,0.921
0.038931,0.2648,0.3242,-0.5264,0.673
0.046670,0.1197,-0.0092,-0.8645,0.873
0.055031,0.5032,0.1587,-0.4273,0.679
0.071828,0.8156,0.3324,-0.0304,0.881
0.072601,0.7617,0.2044,0.0683,0.792
0.079218,0.5810,0.1803,0.0191,0.609
0.086627,0.5498,0.3851,-0.0588,0.674
0.103322,0.5512,0.4916,-0.1898,0.763
0.104189,0.3856,0.4623,-0.4297,0.740
0.111049,0.2717,0.4569,-0.7388,0.910
0.118730,0.2598,0.5586,-0.8265,1.031
0.126625,0.1729,0.7127,-0.8701,1.138
0.134345,0.3596,0.7016,-0.8291,1.144
0.151424,0.5057,0.5708,-0.7753,1.087
0.152545,0.5230,0.4331,-0.7457,1.009
0.158550,0.5472,0.4625,-0.6680,0.980
0.166353,0.5663,0.5115,-0.4415,0.882
0.181305,0.5886,0.4976,-0.1611,0.787
0.182673,0.3900,0.4358,0.0212,0.585
0.190960,0.0004,0.5126,0.2468,0.569
0.198496,-0.1453,0.5765,0.4181,0.727
0.207627,-0.0530,0.6319,0.5185,0.819
0.214226,0.0604,0.5913,0.5442,0.806
0.222051,0.1507,0.6287,0.6058,0.886
0.230522,0.2026,0.7653,0.6269,1.010
0.238272,-0.0452,0.6994,0.5189,0.872
0.253069,0.4851,1.5045,0.5470,1.673
0.254055,0.3005,1.6025,0.4456,1.690
0.262940,0.0456,1.7854,0.2543,1.804
0.270283,0.7604,1.4300,0.8650,1.836
0.285664,1.2941,0.6254,1.1999,1.872
0.286929,0.0862,0.4744,1.0257,1.133
0.295254,-0.4066,0.7491,1.0302,1.337
0.302238,-0.4811,0.7114,1.0714,1.373
0.310740,-0.1918,0.5848,1.1919,1.341
0.318821,0.2641,0.4417,1.3433,1.438
0.326110,0.8120,0.2713,1.4306,1.667
0.334374,1.4107,0.1285,1.5427,2.094
0.354555,1.8310,-0.0258,1.6368,2.456
0.355452,1.8311,-0.1274,1.5650,2.412
0.358979,1.5914,-0.1835,1.4780,2.180
0.366281,1.2803,-0.3587,1.4778,1.988
0.381772,0.8098,-0.0807,1.2204,1.467
0.383355,0.4701,-0.2078,1.0257,1.147
0.390192,0.2741,-0.4728,0.9144,1.065
0.398260,0.4228,-0.7669,0.8402,1.214
0.407137,0.6794,-1.0870,0.4480,1.358
0.414391,0.8517,-1.6633,-1.8766,2.648
0.421954,1.2263,-0.9976,-0.6703,1.717
0.430762,1.0168,-0.6061,0.1721,1.196
0.438037,0.5718,-0.7569,-0.4252,1.040
0.447932,-0.6812,-1.5605,-1.6615,2.379
0.454394,-0.7064,-1.4325,-2.4948,2.962
0.468580,-0.0190,-0.4048,1.0767,1.150
0.470241,0.0275,-0.5257,1.9658,2.035
0.478024,0.1655,-0.9687,2.3495,2.547
0.485910,0.0721,-1.3420,2.5567,2.888
0.494150,0.1819,-1.3754,2.0606,2.484
0.501883,0.1834,-1.2087,1.3431,1.816
0.510188,-0.0928,-1.0922,0.2861,1.133
0.518669,-0.2250,-0.9916,-0.7972,1.292
0.526289,-0.4094,-0.9531,-1.4121,1.752
0.534784,-0.6089,-0.5889,-1.9870,2.160
0.545324,-0.0978,-0.6162,-1.8836,1.984
0.550010,0.5452,-0.9038,-1.2983,1.673
0.564451,1.6387,-1.2129,-0.6717,2.147
0.566215,2.6431,-1.6259,0.4110,3.130
0.574346,2.1613,-1.6072,1.1165,2.916
0.582559,-1.9881,-0.7991,1.1191,2.417
0.590938,-6.3593,0.8707,0.3944,6.431
0.598065,-2.8476,0.8685,-0.4142,3.006
0.606299,0.7769,0.2360,-0.0708,0.815
0.613924,2.4667,-0.3274,0.5195,2.542
0.622731,1.3153,-0.5014,-0.1769,1.419
0.630548,0.1825,-0.2089,-1.2713,1.301
0.638675,0.6317,0.6285,-1.3549,1.622
0.646879,1.4826,2.5096,-1.7699,3.410
0.654475,0.9554,3.3650,-2.2735,4.172
0.667734,0.3133,2.5204,-0.5990,2.609
0.669898,0.4718,1.5222,-1.0757,1.923
0.677798,1.1789,2.0269,-0.7989,2.477
0.685819,2.4532,4.0203,-0.2765,4.718
0.694201,2.5082,4.8282,-1.0255,5.537
0.701983,1.8908,3.6943,-2.6674,4.933
0.710064,1.1785,2.7992,-4.8334,5.708
0.717652,1.6444,2.3293,-5.5265,6.219
0.726835,2.1675,2.1057,-6.1581,6.860
0.734424,2.5371,1.6226,-4.7091,5.590
0.745631,2.9073,0.7841,-4.1327,5.113
0.749990,3.4897,-0.0871,-4.8642,5.987
0.765629,3.9809,-0.3070,-4.9713,6.376
0.766288,4.2665,0.0793,-5.4581,6.928
0.774471,4.0644,0.1710,-6.3495,7.541
0.781877,3.9400,0.4926,-5.6594,6.913
0.791348,3.9124,1.0765,-4.4754,6.041
0.797901,3.1843,1.3747,-3.6111,5.007
0.806333,2.4032,1.0549,-3.3695,4.271
0.813838,2.2377,-0.0749,-3.9783,4.565
0.821866,2.0055,-1.0708,-4.8314,5.340
0.830672,1.6232,-1.6336,-5.4748,5.939
0.838056,1.6135,-1.8836,-5.7522,6.264
0.848055,2.0949,-1.8011,-5.8188,6.441
0.853915,2.2186,-1.7290,-5.8433,6.485
0.868748,2.6029,-1.7400,-5.5450,6.368
0.870294,2.6807,-1.6172,-4.8243,5.751
0.877803,2.6947,-1.5536,-4.2470,5.264
0.885979,2.9708,-1.6570,-3.8307,5.123
0.893680,2.9332,-1.6878,-3.5840,4.929
0.901553,2.6628,-1.6141,-3.5658,4.734
0.910485,2.6348,-1.5553,-3.7339,4.827
0.917656,2.7708,-1.6367,-3.5839,4.817
0.926462,3.1144,-1.8489,-2.9614,4.678
0.934585,3.4501,-2.1616,-2.1628,4.610
0.946641,3.6451,-2.5317,-1.3454,4.638
0.950126,3.5201,-2.7389,-0.5864,4.499
0.978924,3.5223,-2.5710,-0.2547,4.368
0.980125,3.8901,-2.3057,-0.4004,4.540
0.980799,4.7571,-2.0294,-0.7046,5.220
0.981468,5.5970,-1.7616,-0.6307,5.901
0.990520,6.1186,-1.7974,-0.3023,6.384
0.997810,6.8718,-1.9107,0.3333,7.140
1.006177,7.7047,-1.9503,0.9657,8.006
1.014339,8.4528,-1.9900,1.5826,8.827
1.021814,8.5543,-1.9203,2.3416,9.075
1.029796,8.1700,-1.7407,2.8967,8.841
1.037705,7.9090,-1.5560,3.0471,8.617
1.047092,8.3871,-1.3724,2.8659,8.969
1.054009,8.9354,-1.1965,3.2366,9.579
1.069706,8.8783,-1.3892,3.8068,9.759
1.071524,8.5080,-2.0211,4.6354,9.897
1.077778,7.6221,-2.5917,5.3071,9.643
1.085682,6.6705,-2.9751,5.4112,9.090
1.093654,6.0119,-3.2999,5.4396,8.753
1.101626,5.0990,-3.5357,5.6662,8.403
1.109759,4.7098,-3.9314,5.7821,8.430
1.117560,4.5950,-4.3438,5.8850,8.638
1.125742,4.1329,-4.3992,6.0117,8.519
1.134276,3.5734,-4.2841,5.7408,8.005
1.144031,3.0045,-4.0934,4.9836,7.115
1.149765,2.6489,-3.7341,4.5411,6.448
1.166987,2.1906,-3.3206,4.2783,5.842
1.169348,1.6630,-3.0733,3.8499,5.199
1.175382,1.2845,-2.7872,3.6381,4.760
1.181643,0.8972,-2.3473,3.4993,4.308
1.190132,0.4885,-1.9585,3.2784,3.850
1.197590,-0.0747,-1.8065,2.9118,3.427
1.206878,-0.4608,-1.8938,2.8789,3.477
1.213566,-0.6649,-1.8707,2.8567,3.479
1.222263,-1.0767,-1.7736,2.7985,3.484
1.230269,-1.3864,-1.7912,2.9314,3.705
1.238049,-1.5869,-1.6872,2.4308,3.358
1.245703,-2.1151,-1.7383,1.3842,3.068
1.253798,-2.6231,-1.7985,1.0904,3.362
1.263897,-2.7261,-1.6981,1.1267,3.404
1.269463,-2.8438,-2.0326,1.0266,3.643
1.277665,-3.2671,-2.2562,0.7498,4.041
1.285609,-3.6007,-2.1940,0.3637,4.232
1.293406,-3.5453,-1.5468,0.2618,3.877
1.301351,-3.7715,-0.8525,0.1287,3.869
1.309591,-4.4499,-0.9524,-0.0527,4.551
1.318043,-4.5945,-1.2945,0.1511,4.776
1.326124,-3.7736,-1.0868,0.8165,4.011
1.334221,-1.8980,0.0876,0.9992,2.147
1.345152,-1.1445,0.9609,3.0795,3.423
1.349671,-0.9355,0.7367,3.0388,3.264
1.366963,-0.3356,0.9292,-0.9141,1.346
1.368273,-0.8949,0.7808,-3.6983,3.884
1.373372,-1.5860,0.3105,-2.7843,3.219
1.381852,0.2816,-1.5711,-1.2956,2.056
1.390517,3.2681,-4.6350,-0.8645,5.737
1.397709,4.2248,-6.4684,-0.0061,7.726
1.406021,2.6500,-7.6410,0.8056,8.127
1.413792,0.9369,-8.3319,1.0654,8.452
1.421982,0.5664,-8.3594,0.5942,8.400
1.429423,-0.8041,-6.4694,7.0373,9.593
1.438076,-6.7579,-1.9655,21.3883,22.516
1.445494,-7.7214,-0.1554,24.1455,25.350
1.453046,1.7453,-4.1433,1.5382,4.752
1.463579,-0.5815,-1.9997,-8.1680,8.429
1.469398,-4.0057,-1.0270,-4.2751,5.948
1.477193,-7.9062,-1.5833,5.5525,9.790
1.485256,-8.4082,-3.1444,6.7153,11.211
1.493506,-7.1942,-3.2792,3.7842,8.765
1.501275,-5.9877,-2.4598,0.6630,6.507
1.509498,-5.6554,-0.9472,-0.3231,5.743
1.517371,-5.6529,1.4185,-0.4738,5.847
1.525257,-9.0075,6.1658,0.0451,10.916
1.533730,-12.8070,12.3269,0.7556,17.792
1.545746,-12.3354,18.3468,1.2860,22.145
1.549135,-5.5614,22.0465,2.7350,22.901
1.565643,6.2929,23.6058,4.6399,24.867
1.566672,12.1950,20.5766,5.9606,24.650
1.574013,11.5122,14.0214,6.2898,19.201
1.581685,7.7351,8.6991,4.6386,12.531
1.589601,3.6554,4.5493,2.0706,6.192
1.597731,1.4151,2.0221,0.0036,2.468
1.605602,0.6765,0.8230,-1.5194,1.856
1.614048,1.6148,0.6931,-2.3714,2.952
1.621190,2.8905,1.0352,-2.5022,3.961
1.629423,3.3132,1.2273,-2.1312,4.126
1.638001,3.0414,1.3627,-1.3337,3.590
1.646060,2.2283,1.0907,-0.6101,2.555
1.653290,1.3104,0.4366,-0.2685,1.407
1.665428,0.4998,-0.2793,-0.3167,0.654
1.669213,-0.0923,-0.9337,-0.4839,1.056
1.677415,0.0511,-1.0475,-0.7807,1.307
1.684852,0.2582,-1.0885,-0.9958,1.498
1.692932,0.4463,-0.8377,-1.3859,1.680
1.701203,0.4405,-0.5134,-1.7711,1.896
1.709992,0.3248,-0.1803,-2.0662,2.099
1.717043,-0.0063,-0.1468,-2.2960,2.301
1.726494,-0.3328,-0.3211,-2.5128,2.555
1.733681,-0.4959,-0.5613,-2.6853,2.788
1.744868,-0.6392,-0.5716,-2.7837,2.913
1.749817,-0.9894,-0.4542,-2.7821,2.988
1.765422,-1.1740,-0.3332,-2.7561,3.014
1.766928,-1.2791,-0.1201,-2.8386,3.116
1.773460,-1.3927,-0.1694,-2.7756,3.110
1.780928,-1.6603,-0.4117,-2.5827,3.098
1.788866,-1.7211,-0.6003,-2.4706,3.070
1.797388,-1.7168,-0.8194,-2.3639,3.034
1.804953,-1.7718,-0.9830,-2.2298,3.013
1.812818,-1.8380,-1.1652,-2.0901,3.017
1.821419,-1.9416,-1.3611,-1.9373,3.062
1.829022,-2.0113,-1.4887,-1.8025,3.084
1.837534,-2.1152,-1.6541,-1.6631,3.158
1.845634,-2.2125,-1.9361,-1.5207,3.310
1.853041,-2.2406,-2.2030,-1.0541,3.314
1.864328,-2.2252,-2.4961,-0.7314,3.423
1.869092,-2.2910,-2.8297,-0.5235,3.678
1.876815,-2.3540,-3.0150,-0.3293,3.839
1.885499,-2.2972,-3.0496,-0.2442,3.826
1.893048,-2.2157,-3.0776,-0.0043,3.792
1.901089,-2.1433,-2.9363,0.2938,3.647
1.908874,-1.9533,-2.7889,0.5317,3.446
1.916737,-1.7746,-2.6263,0.7975,3.268
1.925061,-1.6382,-2.4056,1.0089,3.080
1.933431,-1.5078,-2.0478,1.0401,2.747
1.945283,-1.3514,-1.6126,0.9461,2.307
1.949069,-1.2882,-1.1904,0.7083,1.892
1.969241,-1.0979,-0.6695,0.5437,1.396
1.970269,-1.1129,-0.4636,0.6223,1.357
1.976957,-1.1747,-0.4017,0.7711,1.461
1.980909,-1.2302,-0.4985,1.0732,1.707
1.989414,-1.1729,-0.6466,1.3156,1.877
1.997339,-1.2613,-0.7998,1.4218,2.062
2.005274,-1.3001,-0.8893,1.4857,2.165
2.013668,-1.3323,-0.9257,1.3791,2.129
2.021542,-1.4090,-0.9762,1.2624,2.129
2.029485,-1.4612,-0.9638,1.2391,2.145
2.037513,-1.4179,-1.0178,1.3926,2.233
2.045330,-1.2753,-1.0329,1.5752,2.275
2.052750,-1.0764,-1.1093,1.7923,2.367
2.060730,-0.8614,-1.1790,1.8017,2.319
2.068577,-0.5530,-1.1571,2.0390,2.409
2.076503,-0.2047,-0.9616,2.2172,2.425
2.084675,0.0676,-0.6250,2.5446,2.621
2.092890,0.2236,-0.2781,2.7662,2.789
2.101253,0.4955,0.1645,3.0959,3.140
2.108731,0.7459,0.5829,3.4016,3.531
2.116838,1.0506,0.8777,3.7331,3.976
2.125589,1.4024,1.3354,4.1945,4.620
2.132869,1.7992,1.5847,4.4254,5.033
2.144448,2.1952,1.8380,4.4970,5.331
2.148804,2.4340,1.9439,4.4735,5.451
2.161159,2.5017,1.9933,4.2687,5.334
2.164863,2.4165,1.9819,4.0371,5.105
2.174141,2.3881,1.8940,3.8349,4.899
2.180688,2.2660,1.9036,3.3884,4.499
2.188440,2.0625,2.2777,2.2489,3.808
2.196787,1.9585,2.8578,0.9495,3.592
2.204413,1.6189,3.0680,1.2244,3.679
2.212532,1.4762,3.1185,2.1657,4.074
2.220600,1.1884,3.1950,2.5857,4.279
2.229250,0.5232,2.6369,2.2993,3.537
