t_Android;t_unix;x;y;z;a
188655110487947;1702471372281;-1.2737153;0.85473;9.497798;3
188655112502076;1702471372281;-1.2737153;0.85473;9.497798;3
188655114485689;1702471372281;-1.2737153;0.85473;9.497798;3
188655116499818;1702471372281;-1.2737153;0.85473;9.497798;3
188655118483431;1702471372281;-1.2737153;0.85473;9.497798;3
188655120497560;1702471372281;-1.2737153;0.85473;9.497798;3
188655122481171;1702471372281;-1.2737153;0.85473;9.497798;3
188655124495300;1702471372281;-1.2737153;0.85473;9.497798;3
188655126478913;1702471372281;-1.2737153;0.85473;9.497798;3
188655128493042;1702471372281;-1.2737153;0.85473;9.497798;3
188655130507171;1702471372281;-1.2737153;0.85473;9.497798;3
188655132490784;1702471372281;-1.2737153;0.85473;9.497798;3
188655134504913;1702471372281;-1.2737153;0.85473;9.497798;3
188655136488525;1702471372281;-1.2737153;0.85473;9.497798;3
188655138502654;1702471372281;-1.2737153;0.85473;9.497798;3
188655140486266;1702471372281;-1.2737153;0.85473;9.497798;3
188655142500396;1702471372281;-1.2737153;0.85473;9.497798;3
188655144484008;1702471372281;-1.2737153;0.85473;9.497798;3
188655146498137;1702471372281;-1.2737153;0.85473;9.497798;3
188655148512266;1702471372281;-1.2737153;0.85473;9.497798;3
188655150495878;1702471372281;-1.2737153;0.85473;9.497798;3
188655152510007;1702471372281;-1.2737153;0.85473;9.497798;3
188655154493620;1702471372281;-1.2737153;0.85473;9.497798;3
188655156507749;1702471372281;-1.2737153;0.85473;9.497798;3
188655158735353;1702471372281;-1.2737153;0.85473;9.497798;3
188655160749482;1702471372281;-1.2737153;0.85473;9.497798;3
188655162733094;1702471372281;-1.2737153;0.85473;9.497798;3
188655164747224;1702471372282;-1.2737153;0.85473;9.497798;3
188655166730836;1702471372299;-1.2737153;0.85473;9.497798;3
188655168744965;1702471372299;-1.2737153;0.85473;9.497798;3
188655170759094;1702471372299;-1.2737153;0.85473;9.497798;3
188655172742706;1702471372299;-1.2737153;0.85473;9.497798;3
