t_Android;t_unix;x;y;z;a
524887551743707;1702807597764;-5.0835896;4.3130946;-2.5122733;3
524887559739186;1702807597764;-5.0835896;4.3130946;-2.5122733;3
524887567734664;1702807597764;-5.0835896;4.3130946;-2.5122733;3
524887575730143;1702807597764;-5.0835896;4.3130946;-2.5122733;3
524887583725622;1702807597764;-5.0835896;4.3130946;-2.5122733;3
524887591721101;1702807597764;-5.0835896;4.3130946;-2.5122733;3
524887599716579;1702807597764;-5.0835896;4.3130946;-2.5122733;3
524887607681541;1702807597764;-5.0835896;4.3130946;-2.5122733;3
524887615677019;1702807597788;-5.0835896;4.3130946;-2.5122733;3
524887623672499;1702807597788;-5.0835896;4.3130946;-2.5122733;3
524887631667977;1702807597788;-5.0835896;4.3130946;-2.5122733;3
524887639663456;1702807597800;-5.0835896;4.3130946;-2.5122733;3
524887647658934;1702807597807;-5.0835896;4.3130946;-2.5122733;3
524887655654414;1702807597809;-5.0835896;4.3130946;-2.5122733;3
524887663649892;1702807597818;-5.0835896;4.3130946;-2.5122733;3
524887671614854;1702807597826;-5.0835896;4.3130946;-2.5122733;3
524887679610333;1702807597834;-5.0835896;4.3130946;-2.5122733;3
524887687605811;1702807597841;-5.0835896;4.3130946;-2.5122733;3
524887695601289;1702807597849;-5.0835896;4.3130946;-2.5122733;3
524887703596769;1702807597857;-5.0835896;4.3130946;-2.5122733;3
524887711592247;1702807597865;-5.0835896;4.3130946;-2.5122733;3
524887719587726;1702807597873;-5.0835896;4.3130946;-2.5122733;3
524887727583204;1702807597893;-5.0835896;4.3130946;-2.5122733;3
524887735548166;1702807597893;-5.0835896;4.3130946;-2.5122733;3
524887743543646;1702807597896;-5.0835896;4.3130946;-2.5122733;3
524887751539124;1702807597904;-5.0835896;4.3130946;-2.5122733;3
524887759534603;1702807597913;-5.0835896;4.3130946;-2.5122733;3
524887767530081;1702807597920;-5.0835896;4.3130946;-2.5122733;3
524887775525561;1702807597929;-5.0835896;4.3130946;-2.5122733;3
524887783521039;1702807597937;-5.0835896;4.3130946;-2.5122733;3
524887791516518;1702807597945;-5.0835896;4.3130946;-2.5122733;3
524887799511996;1702807597955;-5.0835896;4.3130946;-2.5122733;3
524887807476958;1702807597961;-5.0835896;4.3130946;-2.5122733;3
524887815472436;1702807597969;-5.0835896;4.3130946;-2.5122733;3
524887823467916;1702807597976;-5.0835896;4.3130946;-2.5122733;3
524887831463394;1702807597984;-5.0835896;4.3130946;-2.5122733;3
524887839458873;1702807597992;-5.0835896;4.3130946;-2.5122733;3
524887847454351;1702807598000;-5.0835896;4.3130946;-2.5122733;3
524887855449831;1702807598008;-5.0835896;4.3130946;-2.5122733;3
524887863445309;1702807598016;-5.0835896;4.3130946;-2.5122733;3
524887871440788;1702807598024;-5.0835896;4.3130946;-2.5122733;3
524887879436267;1702807598032;-5.0835896;4.3130946;-2.5122733;3
