time,gFx,gFy,gFz,TgF
9.450018531,-0.7503,0.5968,0.0581,0.960
9.451945416,-0.7356,0.5807,0.0537,0.939
9.453806916,-0.7224,0.5631,0.0503,0.917
9.456298685,-0.7073,0.5441,0.0452,0.893
9.4583773,-0.6894,0.5270,0.0396,0.869
9.460641954,-0.6711,0.5118,0.0364,0.845
9.461869608,-0.6525,0.4984,0.0357,0.822
9.464185454,-0.6332,0.4854,0.0366,0.799
9.466092224,-0.6142,0.4715,0.0359,0.775
9.468696916,-0.5942,0.4591,0.0354,0.752
9.470832647,-0.5746,0.4471,0.0371,0.729
9.472763147,-0.5560,0.4354,0.0401,0.707
9.474863762,-0.5389,0.4231,0.0432,0.687
9.476212147,-0.5216,0.4119,0.0469,0.666
9.478621147,-0.5045,0.4046,0.0520,0.649
9.480462954,-0.4867,0.4009,0.0572,0.633
9.481660839,-0.4688,0.3975,0.0606,0.618
9.484794608,-0.4542,0.3948,0.0638,0.605
9.485929685,-0.4412,0.3916,0.0674,0.594
9.488827454,-0.4302,0.3889,0.0711,0.584
9.490953531,-0.4209,0.3877,0.0743,0.577
9.492925839,-0.4148,0.3877,0.0774,0.573
9.49497107,-0.4102,0.3889,0.0804,0.571
9.496085993,-0.4073,0.3914,0.0831,0.571
9.498027108,-0.4065,0.3950,0.0855,0.573
9.4999628,-0.4068,0.3994,0.0887,0.577
9.502514454,-0.4075,0.4048,0.0916,0.582
9.504708916,-0.4073,0.4099,0.0933,0.585
9.5058778,-0.4053,0.4143,0.0945,0.587
9.510963416,-0.4019,0.4180,0.0953,0.588
9.511856608,-0.3975,0.4200,0.0955,0.586
9.513405224,-0.3911,0.4205,0.0972,0.582
9.514099262,-0.3833,0.4202,0.0994,0.577
9.516810262,-0.3760,0.4192,0.1004,0.572
9.518721377,-0.3689,0.4175,0.0999,0.566
9.520468647,-0.3616,0.4161,0.0994,0.560
9.522736262,-0.3538,0.4151,0.0987,0.554
9.535447339,-0.3459,0.4153,0.0972,0.549
9.53632657,-0.3396,0.4153,0.0967,0.545
9.536864993,-0.3342,0.4151,0.0965,0.542
9.537346108,-0.3291,0.4151,0.0953,0.538
9.537829877,-0.3247,0.4156,0.0931,0.536
9.538307108,-0.3203,0.4158,0.0916,0.533
9.538880647,-0.3178,0.4156,0.0911,0.531
9.53939707,-0.3164,0.4158,0.0914,0.530
9.541438377,-0.3144,0.4165,0.0916,0.530
9.542040723,-0.3125,0.4175,0.0914,0.529
9.543981493,-0.3103,0.4185,0.0921,0.529
9.5458938,-0.3076,0.4195,0.0919,0.528
9.547857685,-0.3071,0.4209,0.0916,0.529
9.549775223,-0.3064,0.4231,0.0919,0.530
9.552415993,-0.3059,0.4261,0.0928,0.533
9.553680031,-0.3076,0.4280,0.0938,0.535
9.556577147,-0.3098,0.4312,0.0933,0.539
9.558465877,-0.3125,0.4354,0.0923,0.544
9.56077757,-0.3132,0.4395,0.0921,0.547
9.562085223,-0.3134,0.4417,0.0928,0.550
9.563911108,-0.3149,0.4427,0.0933,0.551
9.565778839,-0.3161,0.4444,0.0938,0.553
9.568357108,-0.3174,0.4466,0.0958,0.556
9.570434531,-0.3188,0.4503,0.1002,0.561
9.572449839,-0.3205,0.4522,0.1026,0.564
9.575044339,-0.3252,0.4537,0.1046,0.568
9.576031493,-0.3310,0.4537,0.1075,0.572
9.578043916,-0.3352,0.4529,0.1114,0.574
9.580376416,-0.3384,0.4532,0.1153,0.577
9.582636377,-0.3403,0.4556,0.1190,0.581
9.5845538,-0.3415,0.4578,0.1226,0.584
9.586616147,-0.3445,0.4588,0.1266,0.588
9.587673877,-0.3472,0.4593,0.1307,0.590
9.590291531,-0.3503,0.4608,0.1351,0.594
9.592872339,-0.3540,0.4637,0.1395,0.600
9.594055185,-0.3582,0.4674,0.1437,0.606
9.59677707,-0.3633,0.4700,0.1485,0.612
9.598507916,-0.3677,0.4713,0.1537,0.617
9.600682723,-0.3726,0.4732,0.1586,0.623
9.6025003,-0.3762,0.4747,0.1617,0.627
9.604644185,-0.3806,0.4764,0.1659,0.632
9.606711723,-0.3872,0.4769,0.1708,0.638
9.612656377,-0.3931,0.4788,0.1757,0.644
9.613354916,-0.3972,0.4820,0.1801,0.650
9.613715916,-0.4009,0.4845,0.1837,0.655
9.614074262,-0.4043,0.4867,0.1862,0.660
9.616566493,-0.4068,0.4886,0.1876,0.663
9.618639723,-0.4090,0.4901,0.1893,0.666
9.620806493,-0.4119,0.4915,0.1898,0.669
9.622584954,-0.4143,0.4928,0.1908,0.671
9.635750954,-0.4153,0.4942,0.1923,0.674
9.636696647,-0.4158,0.4959,0.1932,0.675
9.637215531,-0.4163,0.4967,0.1940,0.676
9.6376823,-0.4165,0.4972,0.1950,0.677
9.638151647,-0.4170,0.4981,0.1964,0.679
9.638604339,-0.4178,0.4986,0.1967,0.680
9.639126531,-0.4185,0.4991,0.1969,0.680
9.63961607,-0.4195,0.4999,0.1974,0.682
9.64009157,-0.4202,0.5001,0.1974,0.682
9.641954339,-0.4197,0.4999,0.1972,0.682
9.643965877,-0.4192,0.5008,0.1976,0.682
9.64631207,-0.4178,0.5023,0.1967,0.682
9.648071223,-0.4168,0.5040,0.1947,0.682
9.649644031,-0.4165,0.5077,0.1925,0.684
9.652044531,-0.4158,0.5108,0.1891,0.685
9.653885339,-0.4136,0.5145,0.1847,0.685
9.656802377,-0.4117,0.5196,0.1808,0.687
9.657759762,-0.4109,0.5250,0.1764,0.690
9.6602728,-0.4107,0.5311,0.1717,0.693
9.6625288,-0.4117,0.5377,0.1673,0.698
9.664254839,-0.4129,0.5443,0.1639,0.703
9.665990223,-0.4143,0.5512,0.1603,0.708
9.667946377,-0.4161,0.5587,0.1551,0.714
9.669984608,-0.4187,0.5678,0.1490,0.721
9.672105916,-0.4217,0.5783,0.1427,0.730
9.674211685,-0.4253,0.5885,0.1363,0.739
9.676635185,-0.4305,0.6003,0.1305,0.750
9.678069723,-0.4371,0.6130,0.1241,0.763
9.680442916,-0.4432,0.6254,0.1175,0.775
9.6820703,-0.4498,0.6398,0.1112,0.790
9.684766762,-0.4576,0.6567,0.1046,0.807
9.686095723,-0.4664,0.6748,0.0989,0.826
9.688457916,-0.4749,0.6931,0.0941,0.845
9.69105557,-0.4840,0.7112,0.0889,0.865
9.692310454,-0.4935,0.7295,0.0838,0.885
9.693928454,-0.5023,0.7488,0.0789,0.905
9.696901416,-0.5128,0.7688,0.0745,0.927
9.698030223,-0.5248,0.7906,0.0706,0.952
9.700000262,-0.5377,0.8135,0.0672,0.977
9.702090031,-0.5504,0.8365,0.0640,1.003
9.704595223,-0.5629,0.8609,0.0603,1.030
9.706351877,-0.5766,0.8868,0.0577,1.059
9.713098416,-0.5910,0.9120,0.0574,1.088
9.713872839,-0.6069,0.9379,0.0552,1.118
9.714189146,-0.6232,0.9653,0.0533,1.150
9.714521723,-0.6403,0.9921,0.0523,1.182
9.716618993,-0.6579,1.0190,0.0525,1.214
9.717800762,-0.6767,1.0473,0.0530,1.248
9.72051207,-0.6968,1.0769,0.0533,1.284
9.722332146,-0.7163,1.1067,0.0542,1.319
9.735317339,-0.7461,1.1514,0.0562,1.373
9.73616857,-0.7659,1.1800,0.0574,1.408
9.736672108,-0.7837,1.2066,0.0586,1.440
9.737038993,-0.8016,1.2323,0.0613,1.471
9.737393839,-0.8187,1.2579,0.0647,1.502
9.737786839,-0.8346,1.2824,0.0679,1.532
9.738167185,-0.8477,1.3051,0.0708,1.558
9.738526416,-0.8582,1.3251,0.0748,1.581
9.740331723,-0.8644,1.3439,0.0784,1.600
9.741905377,-0.8658,1.3610,0.0818,1.615
9.743780839,-0.8648,1.3747,0.0870,1.626
9.745729339,-0.8604,1.3862,0.0960,1.634
9.747762146,-0.8529,1.3974,0.1070,1.641
9.749775916,-0.8424,1.4084,0.1190,1.645
9.751672608,-0.8294,1.4192,0.1329,1.649
9.753670377,-0.8140,1.4311,0.1485,1.653
9.756528531,-0.7979,1.4460,0.1661,1.660
9.757806377,-0.7850,1.4632,0.1842,1.671
9.759811377,-0.7766,1.4832,0.2064,1.687
9.761829262,-0.7720,1.5069,0.2306,1.709
9.763669108,-0.7679,1.5316,0.2558,1.732
9.765625262,-0.7669,1.5589,0.2827,1.760
9.7683393,-0.7747,1.5887,0.3105,1.795
9.770545377,-0.7903,1.6202,0.3396,1.834
9.772570723,-0.8082,1.6520,0.3689,1.876
9.774444646,-0.8255,1.6835,0.3982,1.917
9.776010839,-0.8477,1.7158,0.4283,1.961
9.778462954,-0.8724,1.7470,0.4573,2.006
9.779891916,-0.8922,1.7727,0.4847,2.043
9.781695877,-0.9076,1.7927,0.5094,2.073
9.783900685,-0.9213,1.8096,0.5301,2.099
9.785795262,-0.9350,1.8211,0.5475,2.119
9.787778416,-0.9462,1.8242,0.5617,2.130
9.789983608,-0.9528,1.8211,0.5739,2.134
9.792079416,-0.9543,1.8135,0.5832,2.131
9.7940308,-0.9496,1.7979,0.5871,2.116
9.795919762,-0.9374,1.7761,0.5846,2.092
9.797992646,-0.9179,1.7507,0.5775,2.059
9.799958762,-0.8929,1.7204,0.5670,2.020
9.801837223,-0.8639,1.6845,0.5536,1.972
9.803960646,-0.8297,1.6437,0.5382,1.918
9.810503416,-0.7933,1.5995,0.5240,1.861
9.811390493,-0.7566,1.5543,0.5091,1.802
9.811777416,-0.7207,1.5083,0.4937,1.743
9.812263954,-0.6885,1.4649,0.4793,1.688
9.813937108,-0.6604,1.4243,0.4671,1.638
9.815933262,-0.6367,1.3840,0.4559,1.590
9.818070031,-0.6164,1.3442,0.4444,1.544
9.820097762,-0.5993,1.3063,0.4334,1.501
9.822121454,-0.5841,1.2701,0.4239,1.461
9.830285608,-0.5712,1.2357,0.4180,1.424
9.831113569,-0.5614,1.2035,0.4148,1.391
9.831495377,-0.5543,1.1732,0.4124,1.361
9.831870031,-0.5480,1.1465,0.4121,1.336
9.832248608,-0.5421,1.1231,0.4129,1.314
9.834730146,-0.5343,1.1013,0.4126,1.292
9.836683608,-0.5272,1.0801,0.4090,1.270
9.838424685,-0.5221,1.0588,0.4063,1.248
9.840256608,-0.5179,1.0400,0.4029,1.230
9.842596454,-0.5140,1.0232,0.3960,1.212
9.843926685,-0.5101,1.0075,0.3889,1.194
9.846063569,-0.5069,0.9936,0.3814,1.179
9.848865839,-0.5089,0.9821,0.3718,1.167
9.850731069,-0.5138,0.9711,0.3618,1.157
9.852448185,-0.5206,0.9587,0.3535,1.147
9.853845031,-0.5287,0.9462,0.3464,1.138
9.858251839,-0.5387,0.9347,0.3391,1.131
9.859142685,-0.5502,0.9252,0.3310,1.126
9.860076146,-0.5592,0.9191,0.3230,1.123
9.862073762,-0.5663,0.9127,0.3164,1.120
9.863961069,-0.5753,0.9022,0.3112,1.114
9.866520492,-0.5902,0.8903,0.3086,1.112
9.868559685,-0.6069,0.8797,0.3056,1.112
9.8705558,-0.6191,0.8710,0.3029,1.111
9.872972339,-0.6315,0.8614,0.3017,1.110
9.875480762,-0.6425,0.8509,0.2993,1.107
9.876285992,-0.6494,0.8431,0.2985,1.105
9.878635108,-0.6599,0.8304,0.2990,1.102
9.880792223,-0.6621,0.8206,0.2998,1.096
9.882817916,-0.6623,0.8106,0.3005,1.089
9.884533646,-0.6667,0.7994,0.3012,1.084
9.886528839,-0.6709,0.7869,0.3010,1.077
9.888669108,-0.6696,0.7745,0.3000,1.067
9.890305877,-0.6662,0.7625,0.2981,1.055
9.891869723,-0.6657,0.7520,0.2956,1.047
9.893694916,-0.6648,0.7424,0.2922,1.039
9.896619839,-0.6633,0.7324,0.2885,1.029
9.898690223,-0.6584,0.7234,0.2851,1.019
9.900663916,-0.6479,0.7146,0.2819,1.005
9.902596377,-0.6347,0.7038,0.2795,0.988
9.904831685,-0.6237,0.6914,0.2751,0.971
9.911423569,-0.6142,0.6799,0.2685,0.955
9.912196839,-0.6032,0.6682,0.2624,0.938
9.912592723,-0.5905,0.6572,0.2580,0.920
9.912967762,-0.5758,0.6447,0.2526,0.901
9.914338377,-0.5614,0.6328,0.2460,0.881
9.916158646,-0.5470,0.6208,0.2411,0.862
9.918220146,-0.5309,0.6100,0.2367,0.843
9.920169492,-0.5167,0.5995,0.2323,0.825
9.922059416,-0.5030,0.5883,0.2274,0.807
9.933125031,-0.4908,0.5756,0.2223,0.788
9.9339088,-0.4803,0.5643,0.2177,0.772
9.934298569,-0.4693,0.5548,0.2130,0.757
9.934676108,-0.4591,0.5470,0.2094,0.744
9.935105992,-0.4515,0.5392,0.2055,0.733
9.935477223,-0.4441,0.5319,0.2013,0.722
9.9369173,-0.4368,0.5253,0.1972,0.711
9.938542108,-0.4295,0.5192,0.1935,0.701
9.941353839,-0.4219,0.5143,0.1898,0.692
9.942166262,-0.4153,0.5096,0.1876,0.684
9.944592031,-0.4102,0.5072,0.1869,0.679
9.9459433,-0.4073,0.5047,0.1869,0.675
9.948523262,-0.4070,0.5023,0.1874,0.673
9.950458185,-0.4065,0.4984,0.1879,0.670
9.952556223,-0.4046,0.4930,0.1891,0.665
9.953658031,-0.4033,0.4893,0.1906,0.662
9.9586198,-0.4026,0.4874,0.1930,0.661
9.959521031,-0.4014,0.4867,0.1954,0.660
9.9600188,-0.4002,0.4847,0.1979,0.659
9.962280569,-0.3985,0.4818,0.2006,0.657
9.964582454,-0.3997,0.4803,0.2040,0.657
9.966539916,-0.4016,0.4786,0.2081,0.659
9.968653608,-0.4019,0.4769,0.2116,0.659
9.970633723,-0.4021,0.4766,0.2140,0.659
9.972218454,-0.4038,0.4771,0.2162,0.661
9.974165608,-0.4041,0.4774,0.2187,0.663
9.975887954,-0.4038,0.4779,0.2204,0.663
9.977913069,-0.4048,0.4781,0.2228,0.665
9.980100377,-0.4046,0.4791,0.2248,0.666
9.982025531,-0.4029,0.4808,0.2265,0.667
9.984572723,-0.4024,0.4818,0.2284,0.668
9.986873723,-0.4021,0.4840,0.2301,0.670
9.988026223,-0.4004,0.4857,0.2311,0.671
9.991372031,-0.3972,0.4871,0.2311,0.670
9.992253723,-0.3953,0.4893,0.2306,0.670
9.994967031,-0.3958,0.4908,0.2309,0.671
9.996110954,-0.3955,0.4923,0.2318,0.673
9.998813877,-0.3960,0.4937,0.2323,0.674
10.0006548,-0.3980,0.4959,0.2333,0.677
10.002670608,-0.3968,0.4974,0.2323,0.677
10.004661723,-0.3955,0.4984,0.2314,0.677
10.010834839,-0.3955,0.5006,0.2309,0.678
10.011590454,-0.3946,0.5028,0.2309,0.680
10.011994146,-0.3909,0.5042,0.2311,0.679
10.012378569,-0.3875,0.5062,0.2326,0.679
10.0143333,-0.3858,0.5086,0.2331,0.680
10.016186185,-0.3862,0.5113,0.2333,0.682
10.017712492,-0.3889,0.5150,0.2345,0.687
10.019975223,-0.3926,0.5170,0.2355,0.691
10.022095685,-0.3953,0.5189,0.2355,0.694
10.029825877,-0.3970,0.5223,0.2365,0.697
10.030737531,-0.3990,0.5262,0.2375,0.702
10.031282108,-0.3982,0.5301,0.2387,0.705
10.031792185,-0.3955,0.5341,0.2406,0.707
10.032294185,-0.3946,0.5377,0.2428,0.710
10.033744146,-0.3933,0.5419,0.2438,0.713
10.036694492,-0.3906,0.5490,0.2450,0.717
10.038868108,-0.3894,0.5541,0.2477,0.721
10.041520877,-0.3914,0.5580,0.2507,0.726
10.042055415,-0.3931,0.5629,0.2514,0.731
10.044747454,-0.3926,0.5675,0.2526,0.735
10.046708531,-0.3933,0.5722,0.2548,0.740
10.048683339,-0.3943,0.5775,0.2560,0.745
10.050618839,-0.3955,0.5839,0.2570,0.751
10.052834454,-0.3980,0.5907,0.2585,0.758
10.054651839,-0.4019,0.5966,0.2597,0.765
10.056627185,-0.4053,0.6025,0.2599,0.771
10.062194877,-0.4090,0.6095,0.2592,0.778
10.062838915,-0.4134,0.6171,0.2592,0.787
10.065040069,-0.4170,0.6254,0.2602,0.795
10.065481415,-0.4209,0.6337,0.2602,0.804
10.065744415,-0.4253,0.6428,0.2602,0.813
10.067838108,-0.4302,0.6508,0.2592,0.822
10.069834569,-0.4341,0.6579,0.2580,0.829
10.072202646,-0.4383,0.6650,0.2577,0.837
10.075244069,-0.4432,0.6723,0.2570,0.845
10.076014069,-0.4493,0.6784,0.2551,0.853
10.077861338,-0.4559,0.6848,0.2526,0.861
10.079716838,-0.4617,0.6914,0.2499,0.868
10.081860723,-0.4686,0.6980,0.2467,0.876
10.083780992,-0.4764,0.7046,0.2433,0.885
10.085775723,-0.4845,0.7107,0.2389,0.893
10.088700954,-0.4925,0.7161,0.2353,0.900
10.095165377,-0.5013,0.7214,0.2314,0.908
10.096073262,-0.5086,0.7268,0.2270,0.916
10.096501492,-0.5155,0.7310,0.2209,0.921
10.096895569,-0.5223,0.7354,0.2150,0.927
10.098958723,-0.5287,0.7398,0.2106,0.933
10.099880185,-0.5341,0.7432,0.2067,0.938
10.1019488,-0.5372,0.7456,0.2011,0.941
10.104076762,-0.5399,0.7476,0.1957,0.943
10.119993954,-0.5433,0.7488,0.1915,0.945
10.120834338,-0.5470,0.7495,0.1893,0.947
10.121347454,-0.5497,0.7505,0.1859,0.949
10.121826415,-0.5499,0.7503,0.1810,0.948
10.1223268,-0.5494,0.7495,0.1749,0.946
10.122861838,-0.5490,0.7488,0.1693,0.944
10.123330838,-0.5490,0.7461,0.1652,0.941
10.123795954,-0.5468,0.7417,0.1620,0.936
10.124262492,-0.5431,0.7378,0.1588,0.930
10.124757031,-0.5397,0.7341,0.1564,0.924
10.1274373,-0.5370,0.7297,0.1532,0.919
10.128329685,-0.5350,0.7236,0.1502,0.912
10.129991377,-0.5331,0.7168,0.1495,0.906
10.1320403,-0.5311,0.7090,0.1485,0.898
10.1338013,-0.5292,0.7012,0.1471,0.891
10.135934646,-0.5270,0.6933,0.1480,0.883
10.137909569,-0.5250,0.6853,0.1495,0.876
10.140260685,-0.5223,0.6779,0.1507,0.869
10.141779992,-0.5184,0.6704,0.1517,0.861
10.144170377,-0.5145,0.6626,0.1524,0.853
10.145971185,-0.5116,0.6545,0.1549,0.845
10.148752646,-0.5086,0.6469,0.1568,0.838
10.149833992,-0.5052,0.6393,0.1593,0.830
10.1529408,-0.5025,0.6328,0.1612,0.824
10.1540768,-0.5001,0.6262,0.1639,0.818
10.157768992,-0.4964,0.6205,0.1664,0.812
10.158636915,-0.4933,0.6166,0.1686,0.807
10.160409223,-0.4903,0.6117,0.1713,0.802
10.161993531,-0.4864,0.6061,0.1727,0.796
10.164789069,-0.4813,0.6005,0.1735,0.789
10.165724915,-0.4762,0.5949,0.1742,0.782
10.168037569,-0.4727,0.5900,0.1754,0.776
10.169888954,-0.4688,0.5858,0.1757,0.771
10.172311992,-0.4661,0.5824,0.1747,0.766
10.174662108,-0.4630,0.5788,0.1727,0.761
10.175719492,-0.4573,0.5749,0.1713,0.754
10.1779573,-0.4525,0.5700,0.1695,0.747
10.180024838,-0.4468,0.5663,0.1664,0.740
10.1818243,-0.4388,0.5619,0.1612,0.731
10.184928723,-0.4297,0.5573,0.1556,0.721
10.186160992,-0.4229,0.5529,0.1500,0.712
10.1886458,-0.4170,0.5482,0.1444,0.704
10.191316954,-0.4097,0.5438,0.1397,0.695
10.192116492,-0.4043,0.5414,0.1341,0.689
10.1941668,-0.4021,0.5404,0.1302,0.686
10.196637146,-0.3968,0.5387,0.1244,0.680
10.198488992,-0.3916,0.5382,0.1187,0.676
10.200625723,-0.3853,0.5372,0.1124,0.671
10.202618338,-0.3787,0.5360,0.1053,0.665
10.204610415,-0.3716,0.5353,0.0992,0.659
10.210727531,-0.3633,0.5355,0.0926,0.654
10.211536838,-0.3560,0.5353,0.0860,0.649
10.211929531,-0.3503,0.5375,0.0789,0.646
10.212315608,-0.3452,0.5392,0.0730,0.644
10.213832069,-0.3384,0.5387,0.0679,0.640
10.216514569,-0.3305,0.5389,0.0611,0.635
10.218437492,-0.3259,0.5421,0.0547,0.635
10.219911338,-0.3274,0.5485,0.0489,0.641
10.221908223,-0.3237,0.5504,0.0437,0.640
10.2361953,-0.3152,0.5512,0.0364,0.636
10.237065685,-0.3054,0.5541,0.0286,0.633
10.237574377,-0.2983,0.5573,0.0225,0.632
10.238070954,-0.2937,0.5597,0.0181,0.632
10.238539261,-0.2895,0.5643,0.0147,0.634
10.239084954,-0.2844,0.5683,0.0110,0.636
10.239468031,-0.2790,0.5714,0.0078,0.636
10.239852261,-0.2744,0.5756,0.0044,0.638
10.240228954,-0.2704,0.5812,0.0015,0.641
10.244854185,-0.2668,0.5878,-0.0005,0.646
10.2455128,-0.2639,0.5937,-0.0032,0.650
10.245836223,-0.2621,0.6003,-0.0061,0.655
10.247726761,-0.2602,0.6103,-0.0078,0.663
10.249729723,-0.2585,0.6205,-0.0093,0.672
10.251849838,-0.2582,0.6318,-0.0100,0.683
10.253676415,-0.2585,0.6447,-0.0117,0.695
10.257573723,-0.2597,0.6594,-0.0149,0.709
10.258661646,-0.2621,0.6755,-0.0171,0.725
10.259996531,-0.2641,0.6924,-0.0171,0.741
10.261882069,-0.2660,0.7100,-0.0161,0.758
10.263840223,-0.2680,0.7295,-0.0156,0.777
10.265820146,-0.2690,0.7517,-0.0156,0.799
10.267749415,-0.2712,0.7742,-0.0147,0.820
10.269866531,-0.2736,0.7964,-0.0122,0.842
10.272186069,-0.2790,0.8184,-0.0103,0.865
10.274652877,-0.2902,0.8404,-0.0064,0.889
10.275904646,-0.3064,0.8636,-0.0002,0.916
10.2777958,-0.3232,0.8868,0.0042,0.944
10.279763838,-0.3386,0.9096,0.0095,0.971
10.281838723,-0.3555,0.9315,0.0159,0.997
10.283782108,-0.3745,0.9521,0.0227,1.023
10.2858178,-0.3941,0.9726,0.0303,1.050
10.287926723,-0.4129,0.9924,0.0381,1.076
10.294943184,-0.4334,1.0114,0.0464,1.101
10.295916223,-0.4549,1.0290,0.0537,1.126
10.296350492,-0.4757,1.0461,0.0603,1.151
10.296728184,-0.4972,1.0644,0.0660,1.177
10.297831069,-0.5182,1.0828,0.0713,1.202
10.299881184,-0.5382,1.1004,0.0774,1.227
10.301816454,-0.5590,1.1182,0.0823,1.253
10.3039793,-0.5802,1.1377,0.0865,1.280
10.314491684,-0.6005,1.1592,0.0897,1.309
10.315236492,-0.6191,1.1815,0.0914,1.337
10.315469184,-0.6376,1.2047,0.0931,1.366
10.315670146,-0.6577,1.2296,0.0945,1.398
10.315872992,-0.6797,1.2572,0.0953,1.432
10.316078877,-0.7046,1.2887,0.0972,1.472
10.317746569,-0.7332,1.3241,0.0997,1.517
10.319795877,-0.7649,1.3620,0.1043,1.566
10.321694723,-0.8023,1.4035,0.1097,1.620
10.323971877,-0.8463,1.4495,0.1148,1.682
10.325833223,-0.8954,1.4974,0.1229,1.749
10.327961377,-0.9474,1.5474,0.1344,1.819
10.329811415,-1.0002,1.5985,0.1463,1.891
10.332693992,-1.0534,1.6500,0.1586,1.964
10.334485569,-1.1094,1.6989,0.1725,2.036
10.336634454,-1.1729,1.7402,0.1891,2.107
10.337826569,-1.2359,1.7785,0.2074,2.176
10.340034569,-1.2902,1.8162,0.2233,2.239
10.341772108,-1.3400,1.8474,0.2382,2.295
10.344617377,-1.3845,1.8687,0.2526,2.339
10.345688069,-1.4248,1.8809,0.2653,2.375
10.347976915,-1.4575,1.8834,0.2775,2.398
10.349802915,-1.4873,1.8675,0.2912,2.405
10.351888261,-1.4954,1.8443,0.2949,2.393
10.353897684,-1.4925,1.8108,0.2963,2.365
10.355883915,-1.4776,1.7676,0.2983,2.323
10.3584193,-1.4487,1.7160,0.2995,2.266
10.360930992,-1.4087,1.6603,0.2959,2.197
10.361705608,-1.3605,1.6022,0.2917,2.122
10.364225223,-1.3061,1.5438,0.2885,2.043
10.365813684,-1.2482,1.4856,0.2885,1.962
10.368618531,-1.1905,1.4299,0.2883,1.883
10.369840031,-1.1365,1.3781,0.2883,1.809
10.373271877,-1.0896,1.3315,0.2905,1.745
10.374189608,-1.0488,1.2912,0.2941,1.689
10.376943184,-1.0161,1.2543,0.3012,1.642
10.378087146,-0.9909,1.2198,0.3103,1.602
10.380638838,-0.9711,1.1886,0.3210,1.568
10.382546146,-0.9574,1.1597,0.3332,1.540
10.384510954,-0.9501,1.1326,0.3462,1.518
10.386625838,-0.9474,1.1089,0.3569,1.502
10.387756531,-0.9477,1.0884,0.3674,1.489
10.390523415,-0.9508,1.0701,0.3789,1.481
10.392646915,-0.9545,1.0549,0.3906,1.475
10.394314877,-0.9560,1.0422,0.4002,1.470
10.396397146,-0.9562,1.0329,0.4082,1.466
10.398585377,-0.9574,1.0258,0.4139,1.463
10.399868069,-0.9587,1.0180,0.4170,1.459
10.402846492,-0.9572,1.0124,0.4195,1.455
10.404749761,-0.9538,1.0065,0.4222,1.449
10.410841415,-0.9496,0.9982,0.4248,1.442
10.411640531,-0.9462,0.9887,0.4263,1.433
10.412045146,-0.9455,0.9794,0.4261,1.426
10.412509069,-0.9450,0.9709,0.4275,1.421
10.414087031,-0.9460,0.9633,0.4266,1.416
10.416493415,-0.9477,0.9560,0.4226,1.411
10.418478146,-0.9511,0.9482,0.4175,1.406
10.4207618,-0.9562,0.9386,0.4097,1.401
10.4226263,-0.9582,0.9269,0.3992,1.392
10.434662723,-0.9572,0.9125,0.3875,1.378
10.435619992,-0.9552,0.8959,0.3760,1.363
10.436134954,-0.9535,0.8795,0.3626,1.347
10.436620761,-0.9477,0.8636,0.3459,1.328
10.437108377,-0.9379,0.8482,0.3281,1.306
10.437595838,-0.9274,0.8309,0.3105,1.283
10.438060069,-0.9154,0.8106,0.2944,1.258
10.438635107,-0.9012,0.7903,0.2790,1.231
10.443038569,-0.8822,0.7703,0.2626,1.200
10.443645992,-0.8619,0.7498,0.2433,1.168
10.443979607,-0.8441,0.7297,0.2228,1.138
10.445666107,-0.8277,0.7092,0.2011,1.108
10.448401954,-0.8091,0.6894,0.1796,1.078
10.449545069,-0.7886,0.6687,0.1583,1.046
10.451543454,-0.7701,0.6445,0.1385,1.014
10.453645992,-0.7544,0.6218,0.1239,0.985
10.456182877,-0.7385,0.6007,0.1138,0.959
10.457718723,-0.7227,0.5817,0.1060,0.934
10.459866146,-0.7100,0.5653,0.0972,0.913
10.461966415,-0.7009,0.5502,0.0853,0.895
10.463920607,-0.6933,0.5367,0.0721,0.880
10.465836223,-0.6853,0.5233,0.0589,0.864
10.467821107,-0.6753,0.5106,0.0476,0.848
10.470139877,-0.6630,0.4984,0.0369,0.830
10.4729773,-0.6506,0.4864,0.0261,0.813
10.474003954,-0.6376,0.4749,0.0171,0.795
10.475824069,-0.6262,0.4622,0.0093,0.778
10.477859377,-0.6157,0.4495,0.0020,0.762
10.480460031,-0.6059,0.4378,-0.0044,0.748
10.481983646,-0.5939,0.4268,-0.0093,0.731
10.484722069,-0.5807,0.4173,-0.0134,0.715
10.486823338,-0.5695,0.4073,-0.0154,0.700
10.488900954,-0.5585,0.3985,-0.0171,0.686
10.491569069,-0.5485,0.3899,-0.0191,0.673
10.492385069,-0.5387,0.3840,-0.0215,0.662
10.494746338,-0.5289,0.3779,-0.0235,0.650
10.496626877,-0.5206,0.3709,-0.0239,0.640
10.498455954,-0.5123,0.3662,-0.0232,0.630
10.500649684,-0.5030,0.3630,-0.0220,0.621
10.502833146,-0.4928,0.3606,-0.0215,0.611
10.504157338,-0.4827,0.3586,-0.0208,0.602
10.511259454,-0.4720,0.3579,-0.0188,0.593
10.511922184,-0.4529,0.3564,-0.0171,0.577
10.5122663,-0.4415,0.3547,-0.0159,0.567
10.512585415,-0.4317,0.3523,-0.0137,0.557
10.51388903,-0.4222,0.3511,-0.0115,0.549
10.516102184,-0.4114,0.3503,-0.0100,0.540
10.517912915,-0.4004,0.3496,-0.0086,0.532
10.519771954,-0.3892,0.3484,-0.0076,0.522
