time,gFx,gFy,gFz,TgF
0.231507769,-0.2279,0.9767,0.2646,1.037
0.233654038,-0.2314,0.9767,0.2673,1.039
0.236606769,-0.2340,0.9762,0.2678,1.039
0.237377615,-0.2355,0.9753,0.2678,1.038
0.240306422,-0.2362,0.9745,0.2675,1.038
0.241178499,-0.2360,0.9721,0.2660,1.035
0.244150346,-0.2345,0.9697,0.2648,1.032
0.245785769,-0.2326,0.9682,0.2646,1.030
0.248593922,-0.2301,0.9657,0.2639,1.027
0.249337115,-0.2274,0.9635,0.2626,1.024
0.251946346,-0.2231,0.9618,0.2619,1.022
0.253947999,-0.2184,0.9611,0.2619,1.020
0.256048769,-0.2145,0.9618,0.2597,1.019
0.257711346,-0.2103,0.9621,0.2563,1.018
0.260448999,-0.2057,0.9621,0.2531,1.016
0.271932769,-0.2023,0.9616,0.2485,1.014
0.272943576,-0.1994,0.9618,0.2431,1.012
0.273551692,-0.1959,0.9618,0.2384,1.010
0.274125422,-0.1930,0.9613,0.2333,1.008
0.274712461,-0.1906,0.9623,0.2282,1.007
0.275356922,-0.1879,0.9628,0.2240,1.006
0.275919807,-0.1845,0.9631,0.2216,1.005
0.276492922,-0.1805,0.9638,0.2209,1.005
0.278365692,-0.1776,0.9645,0.2196,1.005
0.280390884,-0.1742,0.9638,0.2179,1.003
0.281843499,-0.1715,0.9626,0.2167,1.001
0.283722653,-0.1710,0.9621,0.2147,1.000
0.285355653,-0.1727,0.9613,0.2121,0.999
0.287842269,-0.1739,0.9609,0.2103,0.999
0.289618653,-0.1761,0.9611,0.2079,0.999
0.292011922,-0.1786,0.9606,0.2060,0.999
0.294728384,-0.1818,0.9601,0.2062,0.999
0.297332961,-0.1849,0.9596,0.2084,0.999
0.297903499,-0.1874,0.9606,0.2101,1.001
0.299387961,-0.1903,0.9623,0.2130,1.004
0.301537653,-0.1925,0.9638,0.2169,1.006
0.303998115,-0.1935,0.9640,0.2216,1.008
0.305935692,-0.1952,0.9633,0.2245,1.008
0.308031192,-0.1976,0.9638,0.2270,1.010
0.310188076,-0.1998,0.9648,0.2294,1.012
0.312245961,-0.2016,0.9643,0.2309,1.012
0.31440573,-0.2030,0.9633,0.2318,1.011
0.316467038,-0.2030,0.9616,0.2328,1.010
0.317235345,-0.2030,0.9596,0.2336,1.008
0.320140807,-0.2030,0.9582,0.2343,1.007
0.322197576,-0.2016,0.9569,0.2355,1.006
0.323964269,-0.1994,0.9565,0.2372,1.005
0.325294615,-0.1967,0.9565,0.2392,1.005
0.327745961,-0.1947,0.9567,0.2414,1.006
0.330189999,-0.1910,0.9577,0.2436,1.006
0.332075115,-0.1871,0.9591,0.2443,1.007
0.333183884,-0.1837,0.9609,0.2446,1.008
0.336096692,-0.1801,0.9626,0.2450,1.009
0.33793273,-0.1766,0.9640,0.2448,1.010
0.340127576,-0.1727,0.9645,0.2436,1.010
