t_Android;t_unix;x;y;z;a
533281302297576;1702815991501;-6.960869;3.595168;4.8718834;3
533281310262538;1702815991501;-6.960869;3.595168;4.8718834;3
533281318258018;1702815991501;-6.960869;3.595168;4.8718834;3
533281326253496;1702815991501;-6.960869;3.595168;4.8718834;3
533281334248976;1702815991501;-6.960869;3.595168;4.8718834;3
533281342244454;1702815991501;-6.960869;3.595168;4.8718834;3
533281350239933;1702815991517;-6.960869;3.595168;4.8718834;3
533281358235412;1702815991517;-6.960869;3.595168;4.8718834;3
533281366230890;1702815991520;-6.960869;3.595168;4.8718834;3
533281374226370;1702815991527;-6.960869;3.595168;4.8718834;3
533281382191332;1702815991537;-6.960869;3.595168;4.8718834;3
533281390186810;1702815991543;-6.960869;3.595168;4.8718834;3
533281398182290;1702815991552;-6.960869;3.595168;4.8718834;3
533281406177768;1702815991559;-6.960869;3.595168;4.8718834;3
533281414173248;1702815991567;-6.960869;3.595168;4.8718834;3
533281422168726;1702815991576;-6.960869;3.595168;4.8718834;3
533281430164206;1702815991583;-6.960869;3.595168;4.8718834;3
533281438159684;1702815991591;-6.960869;3.595168;4.8718834;3
533281446124646;1702815991600;-6.960869;3.595168;4.8718834;3
533281454120125;1702815991607;-6.960869;3.595168;4.8718834;3
533281462115604;1702815991615;-6.960869;3.595168;4.8718834;3
533281470111083;1702815991625;-6.960869;3.595168;4.8718834;3
533281478106562;1702815991632;-6.960869;3.595168;4.8718834;3
533281486102040;1702815991639;-6.960869;3.595168;4.8718834;3
533281494097520;1702815991647;-6.960869;3.595168;4.8718834;3
533281502092998;1702815991655;-6.960869;3.595168;4.8718834;3
533281510088478;1702815991663;-6.960869;3.595168;4.8718834;3
533281518083956;1702815991671;-6.960869;3.595168;4.8718834;3
533281526079436;1702815991679;-6.960869;3.595168;4.8718834;3
533281534074914;1702815991687;-6.960869;3.595168;4.8718834;3
533281542070394;1702815991695;-6.960869;3.595168;4.8718834;3
533281550065872;1702815991703;-6.960869;3.595168;4.8718834;3
533281558061352;1702815991711;-6.960869;3.595168;4.8718834;3
533281566056830;1702815991721;-6.960869;3.595168;4.8718834;3
533281574052309;1702815991727;-6.960869;3.595168;4.8718834;3
533281582047788;1702815991735;-6.960869;3.595168;4.8718834;3
533281590043267;1702815991743;-6.960869;3.595168;4.8718834;3
533281598038746;1702815991751;-6.960869;3.595168;4.8718834;3
533281606034224;1702815991759;-6.960869;3.595168;4.8718834;3
533281614029704;1702815991767;-6.960869;3.595168;4.8718834;3
533281622025182;1702815991775;-6.960869;3.595168;4.8718834;3
533281630051178;1702815991783;-6.960869;3.595168;4.8718834;3
533281638046658;1702815991791;-6.960869;3.595168;4.8718834;3
533281646042136;1702815991799;-6.960869;3.595168;4.8718834;3
533281654037616;1702815991807;-6.960869;3.595168;4.8718834;3
533281662033094;1702815991816;-6.960869;3.595168;4.8718834;3
533281670028574;1702815991823;-6.960869;3.595168;4.8718834;3
533281678024052;1702815991831;-6.960869;3.595168;4.8718834;3
533281686019532;1702815991839;-6.960869;3.595168;4.8718834;3
533281694015010;1702815991847;-6.960869;3.595168;4.8718834;3
533281702010490;1702815991855;-6.960869;3.595168;4.8718834;3
533281710005968;1702815991863;-6.960869;3.595168;4.8718834;3
533281718001447;1702815991871;-6.960869;3.595168;4.8718834;3
533281725996926;1702815991879;-6.960869;3.595168;4.8718834;3
533281733992405;1702815991887;-6.960869;3.595168;4.8718834;3
533281741987884;1702815991895;-6.960869;3.595168;4.8718834;3
533281749983362;1702815991903;-6.960869;3.595168;4.8718834;3
533281758131427;1702815991911;-6.960869;3.595168;4.8718834;3
533281766126906;1702815991919;-6.960869;3.595168;4.8718834;3
533281774122385;1702815991927;-6.960869;3.595168;4.8718834;3
533281782117864;1702815991935;-6.960869;3.595168;4.8718834;3
533281790082826;1702815991943;-6.960869;3.595168;4.8718834;3
533281798078304;1702815991951;-6.960869;3.595168;4.8718834;3
533281806073784;1702815991959;-6.960869;3.595168;4.8718834;3
533281814069262;1702815991967;-6.960869;3.595168;4.8718834;3
533281822064742;1702815991975;-6.960869;3.595168;4.8718834;3
533281830060220;1702815992065;-6.960869;3.595168;4.8718834;3
533281838055700;1702815992065;-6.960869;3.595168;4.8718834;3
533281846051178;1702815992065;-6.960869;3.595168;4.8718834;3
533281854046658;1702815992065;-6.960869;3.595168;4.8718834;3
533281862042136;1702815992065;-6.960869;3.595168;4.8718834;3
533281870037616;1702815992065;-6.960869;3.595168;4.8718834;3
533281878033094;1702815992065;-6.960869;3.595168;4.8718834;3
533281886028573;1702815992065;-6.960869;3.595168;4.8718834;3
533281894024052;1702815992065;-6.960869;3.595168;4.8718834;3
533281902019531;1702815992065;-6.960869;3.595168;4.8718834;3
533281909984492;1702815992065;-6.960869;3.595168;4.8718834;3
533281917979972;1702815992082;-6.960869;3.595168;4.8718834;3
533281925975450;1702815992082;-6.960869;3.595168;4.8718834;3
533281933970930;1702815992090;-6.960869;3.595168;4.8718834;3
533281941966408;1702815992095;-6.960869;3.595168;4.8718834;3
533281949931370;1702815992104;-6.960869;3.595168;4.8718834;3
533281957926850;1702815992111;-6.960869;3.595168;4.8718834;3
533281965922328;1702815992124;-6.960869;3.595168;4.8718834;3
533281973917808;1702815992127;-6.960869;3.595168;4.8718834;3
533281981913286;1702815992135;-6.960869;3.595168;4.8718834;3
533281989908766;1702815992143;-6.960869;3.595168;4.8718834;3
533281997904244;1702815992151;-6.960869;3.595168;4.8718834;3
533282005899722;1702815992159;-6.960869;3.595168;4.8718834;3
533282013895202;1702815992167;-6.960869;3.595168;4.8718834;3
533282021890680;1702815992175;-6.960869;3.595168;4.8718834;3
533282029886160;1702815992183;-6.960869;3.595168;4.8718834;3
533282037851122;1702815992191;-6.960869;3.595168;4.8718834;3
533282045846600;1702815992200;-6.960869;3.595168;4.8718834;3
533282053842080;1702815992207;-6.960869;3.595168;4.8718834;3
533282061837558;1702815992215;-6.960869;3.595168;4.8718834;3
533282069833038;1702815992223;-6.960869;3.595168;4.8718834;3
533282077828516;1702815992231;-6.960869;3.595168;4.8718834;3
533282085823996;1702815992239;-6.960869;3.595168;4.8718834;3
533282093819474;1702815992247;-6.960869;3.595168;4.8718834;3
533282101814954;1702815992255;-6.960869;3.595168;4.8718834;3
533282109810432;1702815992263;-6.960869;3.595168;4.8718834;3
533282117805910;1702815992271;-6.960869;3.595168;4.8718834;3
533282125801390;1702815992279;-6.960869;3.595168;4.8718834;3
533282133766352;1702815992287;-6.960869;3.595168;4.8718834;3
533282141761830;1702815992295;-6.960869;3.595168;4.8718834;3
533282149757310;1702815992303;-6.960869;3.595168;4.8718834;3
533282157752788;1702815992311;-6.960869;3.595168;4.8718834;3
533282165748268;1702815992319;-6.960869;3.595168;4.8718834;3
533282173713230;1702815992327;-6.960869;3.595168;4.8718834;3
533282181708708;1702815992335;-6.960869;3.595168;4.8718834;3
533282189704188;1702815992343;-6.960869;3.595168;4.8718834;3
533282197699666;1702815992351;-6.960869;3.595168;4.8718834;3
533282205695145;1702815992359;-6.960869;3.595168;4.8718834;3
533282213690624;1702815992367;-6.960869;3.595168;4.8718834;3
533282221686103;1702815992375;-6.960869;3.595168;4.8718834;3
533282229651064;1702815992383;-6.960869;3.595168;4.8718834;3
533282237646544;1702815992391;-6.960869;3.595168;4.8718834;3
533282245642022;1702815992399;-6.960869;3.595168;4.8718834;3
533282253637502;1702815992407;-6.960869;3.595168;4.8718834;3
533282261632980;1702815992415;-6.960869;3.595168;4.8718834;3
533282269628460;1702815992423;-6.960869;3.595168;4.8718834;3
533282277623938;1702815992430;-6.960869;3.595168;4.8718834;3
533282285588900;1702815992439;-6.960869;3.595168;4.8718834;3
533282293584379;1702815992446;-6.960869;3.595168;4.8718834;3
533282301579858;1702815992455;-6.960869;3.595168;4.8718834;3
533282309575337;1702815992462;-6.960869;3.595168;4.8718834;3
533282317570816;1702815992471;-6.960869;3.595168;4.8718834;3
533282325566295;1702815992478;-6.960869;3.595168;4.8718834;3
533282333561774;1702815992486;-6.960869;3.595168;4.8718834;3
533282341526736;1702815992494;-6.960869;3.595168;4.8718834;3
533282349522214;1702815992502;-6.960869;3.595168;4.8718834;3
533282357517694;1702815992510;-6.960869;3.595168;4.8718834;3
533282365513172;1702815992519;-6.960869;3.595168;4.8718834;3
533282373508652;1702815992526;-6.960869;3.595168;4.8718834;3
